itemid	latitude	longitude	time_bucket
2	9840.0	12300.0	25
12	9840.0	12300.0	25
37	9840.0	12300.0	25
43	9840.0	12300.0	25
2	9840.0	12300.0	26
12	9840.0	12300.0	26
37	9840.0	12300.0	26
43	9840.0	12300.0	26
2	9840.0	12300.0	27
8	9840.0	12300.0	27
12	9840.0	12300.0	27
37	9840.0	12300.0	27
43	9840.0	12300.0	27
8	9840.0	12300.0	28
12	9840.0	12300.0	28
37	9840.0	12300.0	28
43	9840.0	12300.0	28
10	12300.0	12300.0	44
15	12300.0	12300.0	44
31	12300.0	12300.0	44
46	12300.0	12300.0	44
10	12300.0	12300.0	45
15	12300.0	12300.0	45
31	12300.0	12300.0	45
46	12300.0	12300.0	45
10	12300.0	12300.0	46
15	12300.0	12300.0	46
31	12300.0	12300.0	46
46	12300.0	12300.0	46
10	12300.0	12300.0	47
15	12300.0	12300.0	47
31	12300.0	12300.0	47
46	12300.0	12300.0	47
0	12300.0	17220.0	1
12	12300.0	17220.0	1
42	12300.0	17220.0	1
44	12300.0	17220.0	1
0	12300.0	17220.0	2
12	12300.0	17220.0	2
42	12300.0	17220.0	2
44	12300.0	17220.0	2
0	12300.0	17220.0	3
12	12300.0	17220.0	3
42	12300.0	17220.0	3
44	12300.0	17220.0	3
0	12300.0	17220.0	4
12	12300.0	17220.0	4
42	12300.0	17220.0	4
44	12300.0	17220.0	4
3	12300.0	19680.0	40
16	12300.0	19680.0	40
17	12300.0	19680.0	40
23	12300.0	19680.0	40
3	12300.0	19680.0	41
16	12300.0	19680.0	41
17	12300.0	19680.0	41
23	12300.0	19680.0	41
3	12300.0	19680.0	42
16	12300.0	19680.0	42
17	12300.0	19680.0	42
23	12300.0	19680.0	42
3	12300.0	19680.0	43
16	12300.0	19680.0	43
17	12300.0	19680.0	43
23	12300.0	19680.0	43
3	12300.0	19680.0	44
16	12300.0	19680.0	44
17	12300.0	19680.0	44
23	12300.0	19680.0	44
4	14760.0	9840.0	1
10	14760.0	9840.0	1
32	14760.0	9840.0	1
47	14760.0	9840.0	1
4	14760.0	9840.0	2
10	14760.0	9840.0	2
32	14760.0	9840.0	2
47	14760.0	9840.0	2
4	14760.0	9840.0	3
10	14760.0	9840.0	3
32	14760.0	9840.0	3
47	14760.0	9840.0	3
4	14760.0	9840.0	4
10	14760.0	9840.0	4
32	14760.0	9840.0	4
47	14760.0	9840.0	4
4	14760.0	9840.0	5
10	14760.0	9840.0	5
32	14760.0	9840.0	5
47	14760.0	9840.0	5
4	14760.0	9840.0	6
10	14760.0	9840.0	6
32	14760.0	9840.0	6
47	14760.0	9840.0	6
4	14760.0	9840.0	7
10	14760.0	9840.0	7
32	14760.0	9840.0	7
47	14760.0	9840.0	7
4	14760.0	9840.0	8
10	14760.0	9840.0	8
32	14760.0	9840.0	8
47	14760.0	9840.0	8
15	14760.0	12300.0	9
21	14760.0	12300.0	9
24	14760.0	12300.0	9
47	14760.0	12300.0	9
15	14760.0	12300.0	10
21	14760.0	12300.0	10
24	14760.0	12300.0	10
47	14760.0	12300.0	10
15	14760.0	12300.0	11
21	14760.0	12300.0	11
24	14760.0	12300.0	11
47	14760.0	12300.0	11
15	14760.0	12300.0	12
21	14760.0	12300.0	12
24	14760.0	12300.0	12
47	14760.0	12300.0	12
15	14760.0	12300.0	13
21	14760.0	12300.0	13
24	14760.0	12300.0	13
47	14760.0	12300.0	13
15	14760.0	12300.0	14
21	14760.0	12300.0	14
24	14760.0	12300.0	14
47	14760.0	12300.0	14
15	14760.0	12300.0	15
21	14760.0	12300.0	15
24	14760.0	12300.0	15
47	14760.0	12300.0	15
1	14760.0	19680.0	1
19	14760.0	19680.0	1
25	14760.0	19680.0	1
29	14760.0	19680.0	1
1	14760.0	19680.0	2
19	14760.0	19680.0	2
25	14760.0	19680.0	2
29	14760.0	19680.0	2
1	14760.0	19680.0	6
19	14760.0	19680.0	6
23	14760.0	19680.0	6
29	14760.0	19680.0	6
1	14760.0	19680.0	7
19	14760.0	19680.0	7
23	14760.0	19680.0	7
29	14760.0	19680.0	7
1	14760.0	19680.0	8
19	14760.0	19680.0	8
23	14760.0	19680.0	8
29	14760.0	19680.0	8
1	14760.0	19680.0	9
19	14760.0	19680.0	9
23	14760.0	19680.0	9
29	14760.0	19680.0	9
1	14760.0	19680.0	10
19	14760.0	19680.0	10
23	14760.0	19680.0	10
29	14760.0	19680.0	10
1	14760.0	19680.0	11
19	14760.0	19680.0	11
23	14760.0	19680.0	11
29	14760.0	19680.0	11
